,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
RX8V1C2__081,0.0,601.0,2.034164657431168e-05,710.0,655.5,RX8V1C2
RX3V1C2__133,0.0,601.0,2.0231019824588033e-05,712.0,656.5,RX3V1C2
PRESCR17__5,0.0,601.0,1.9461349031973583e-05,713.0,657.0,PRESCR17
TOTCHRON__10,0.0,601.0,1.8562086726471534e-05,715.0,658.0,TOTCHRON
COMSTAT15__2,0.0003249232418296444,580.0,1.3722743986966028e-05,736.0,658.0,COMSTAT15
CONTSUB8__4,0.0,601.0,1.6992768612599198e-05,721.0,661.0,CONTSUB8
RX5V1C2__133,0.0,601.0,1.696496971551378e-05,722.0,661.5,RX5V1C2
RX5V1C2__358,0.0009123737790317499,540.0,0.0,785.0,662.5,RX5V1C2
CONTSUB17__2,0.0,601.0,1.6847896812657966e-05,724.0,662.5,CONTSUB17
RX3CAT3__433,0.0,601.0,1.6768081580066347e-05,726.0,663.5,RX3CAT3
COMSTAT17__2,0.0,601.0,1.6645447535125933e-05,727.0,664.0,COMSTAT17
CONTSUB7__5,0.0,601.0,1.595833604656678e-05,729.0,665.0,CONTSUB7
RX6V1C2__087,0.0008095541802195516,548.0,0.0,785.0,666.5,RX6V1C2
RX2V2C3__332,0.0007981337406501865,549.0,0.0,785.0,667.0,RX2V2C3
COMSTAT13__3,0.0,601.0,1.4172956002447357e-05,733.0,667.0,COMSTAT13
CONTSUB10__3,0.0,601.0,1.381082835390791e-05,734.0,667.5,CONTSUB10
RX4V1C2__242,0.0,601.0,1.3736544961883632e-05,735.0,668.0,RX4V1C2
RX6V1C2__105,0.0007467509549576867,553.0,0.0,785.0,669.0,RX6V1C2
PRESCR10__2,0.0,601.0,1.3686338374373679e-05,737.0,669.0,PRESCR10
RX7V1C2__242,0.0,601.0,1.3563307810875052e-05,739.0,670.0,RX7V1C2
RX3V1C2__242,0.0,601.0,1.3408024625484726e-05,740.0,670.5,RX3V1C2
PAYTYPER__6,0.0,601.0,1.3281381311266825e-05,741.0,671.0,PAYTYPER
PRESCR10__3,0.0,601.0,1.3249906421547367e-05,742.0,671.5,PRESCR10
COMSTAT5__3,0.0,601.0,1.2590470401328346e-05,744.0,672.5,COMSTAT5
CONTSUB2__3,0.0,601.0,1.0745357302250576e-05,749.0,675.0,CONTSUB2
COMSTAT15__3,0.0,601.0,1.032271011035918e-05,751.0,676.0,COMSTAT15
GPMED12__3,0.0,601.0,1.0049895753451195e-05,752.0,676.5,GPMED12
RX3V2C3__265,0.0,601.0,9.004001165524038e-06,754.0,677.5,RX3V2C3
PRESCR5__3,0.0,601.0,8.823859565146357e-06,756.0,678.5,PRESCR5
RX3V2C3__430,0.0,601.0,8.462526968833495e-06,758.0,679.5,RX3V2C3
COMSTAT7__3,0.0,601.0,8.247797470490598e-06,759.0,680.0,COMSTAT7
RX1V3C3__185,0.00047188259566599555,576.0,0.0,785.0,680.5,RX1V3C3
CONTSUB8__7,0.0,601.0,6.804160042493448e-06,761.0,681.0,CONTSUB8
RX7V1C2__097,0.0,601.0,6.664117659618502e-06,762.0,681.5,RX7V1C2
RX17V1C1__113,0.0,601.0,5.768588488462217e-06,763.0,682.0,RX17V1C1
CONTSUB16__7,0.0,601.0,5.562057523169505e-06,764.0,682.5,CONTSUB16
CONTSUB14__4,0.000269141623474356,582.0,0.0,785.0,683.5,CONTSUB14
CONTSUB17__5,0.00026083634458617944,583.0,0.0,785.0,684.0,CONTSUB17
GPMED16__3,0.0,601.0,5.202603885285448e-06,768.0,684.5,GPMED16
RX7V1C2__105,0.000250945307366246,585.0,0.0,785.0,685.0,RX7V1C2
RX5V1C2__087,0.0,601.0,5.098252231040543e-06,769.0,685.0,RX5V1C2
CONTSUB7__7,0.00022864879827455553,587.0,0.0,785.0,686.0,CONTSUB7
CONTSUB15__5,0.0,601.0,4.854569467449952e-06,772.0,686.5,CONTSUB15
PRDIAG4__Yes,0.0,601.0,4.743693964352852e-06,774.0,687.5,PRDIAG4
PRESCR11__3,0.0,601.0,4.5855825427779025e-06,775.0,688.0,PRESCR11
RX7V1C2__218,0.0,601.0,4.520517853476221e-06,776.0,688.5,RX7V1C2
RX3CAT3__430,7.398464959740281e-05,593.0,0.0,785.0,689.0,RX3CAT3
PRESCR7__3,0.0,601.0,4.504748412962192e-06,777.0,689.0,PRESCR7
CONTSUB10__5,3.874779617296653e-05,595.0,0.0,785.0,690.0,CONTSUB10
RX8V1C2__087,0.0,601.0,4.221556401224742e-06,780.0,690.5,RX8V1C2
RX8V1C2__358,0.0,601.0,3.839441376964745e-06,781.0,691.0,RX8V1C2
INJURY_ENC__3,0.0,601.0,3.7808239761661244e-06,782.0,691.5,INJURY_ENC
CONTSUB3__8,0.0,601.0,3.6756636938681403e-06,783.0,692.0,CONTSUB3
CONTSUB7__3,0.0,601.0,0.0,785.0,693.0,CONTSUB7
GPMED17__3,0.0,601.0,0.0,785.0,693.0,GPMED17
CONTSUB1__5,0.0,601.0,0.0,785.0,693.0,CONTSUB1
RX6V1C2__113,0.0,601.0,0.0,785.0,693.0,RX6V1C2
RX1V2C3__270,0.0,601.0,0.0,785.0,693.0,RX1V2C3
RX1V2C3__101,0.0,601.0,0.0,785.0,693.0,RX1V2C3
RX1V1C3__097,0.0,601.0,0.0,785.0,693.0,RX1V1C3
RX2CAT3__185,0.0,601.0,0.0,785.0,693.0,RX2CAT3
CONTSUB2__8,0.0,601.0,0.0,785.0,693.0,CONTSUB2
RX17V1C1__242,0.0,601.0,0.0,785.0,693.0,RX17V1C1
COMSTAT17__3,0.0,601.0,0.0,785.0,693.0,COMSTAT17
CONTSUB17__7,0.0,601.0,0.0,785.0,693.0,CONTSUB17
CONTSUB17__4,0.0,601.0,0.0,785.0,693.0,CONTSUB17
PRESCR17__2,0.0,601.0,0.0,785.0,693.0,PRESCR17
CONTSUB16__3,0.0,601.0,0.0,785.0,693.0,CONTSUB16
CONTSUB16__2,0.0,601.0,0.0,785.0,693.0,CONTSUB16
PRESCR16__3,0.0,601.0,0.0,785.0,693.0,PRESCR16
RX2V2C3__101,0.0,601.0,0.0,785.0,693.0,RX2V2C3
RX2V1C3__113,0.0,601.0,0.0,785.0,693.0,RX2V1C3
RX2V1C3__097,0.0,601.0,0.0,785.0,693.0,RX2V1C3
RX2CAT3__374,0.0,601.0,0.0,785.0,693.0,RX2CAT3
CONTSUB15__4,0.0,601.0,0.0,785.0,693.0,CONTSUB15
GPMED13__3,0.0,601.0,0.0,785.0,693.0,GPMED13
CONTSUB14__5,0.0,601.0,0.0,785.0,693.0,CONTSUB14
CONTSUB3__5,0.0,601.0,0.0,785.0,693.0,CONTSUB3
CONTSUB14__2,0.0,601.0,0.0,785.0,693.0,CONTSUB14
TOTCHRON__13,0.0,601.0,0.0,785.0,693.0,TOTCHRON
CONTSUB11__7,0.0,601.0,0.0,785.0,693.0,CONTSUB11
RX3V1C2__113,0.0,601.0,0.0,785.0,693.0,RX3V1C2
CONTSUB10__7,0.0,601.0,0.0,785.0,693.0,CONTSUB10
PRESCR10__4,0.0,601.0,0.0,785.0,693.0,PRESCR10
CONTSUB9__5,0.0,601.0,0.0,785.0,693.0,CONTSUB9
PRESCR9__3,0.0,601.0,0.0,785.0,693.0,PRESCR9
RX4V1C2__097,0.0,601.0,0.0,785.0,693.0,RX4V1C2
RX4V1C2__105,0.0,601.0,0.0,785.0,693.0,RX4V1C2
CONTSUB5__5,0.0,601.0,0.0,785.0,693.0,CONTSUB5
CONTSUB5__3,0.0,601.0,0.0,785.0,693.0,CONTSUB5
CONTSUB8__3,0.0,601.0,0.0,785.0,693.0,CONTSUB8
RX7V1C2__254,0.0,601.0,0.0,785.0,693.0,RX7V1C2
CONTSUB6__8,0.0,601.0,0.0,785.0,693.0,CONTSUB6
