,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
CAUSE2__frequency,0.0032610056242614593,375.0,0.0007870326355422062,266.0,320.5,CAUSE2
ARRTIME__frequency,0.0,601.0,0.005203538053267331,41.0,321.0,ARRTIME
GPMED13__1,0.009955569828962618,173.0,0.00023050677084945998,472.0,322.5,GPMED13
INJURY72__1,0.003024256572375039,385.0,0.0007907220001114459,262.0,323.5,INJURY72
RX11V3C1__frequency,0.004778909179115276,302.0,0.0004917125798894776,349.0,325.5,RX11V3C1
CONTSUB1__Missing,0.006714402735631397,244.0,0.0003542402900919019,410.0,327.0,CONTSUB1
RX6V3C2__frequency,0.0057233603448050285,271.0,0.0004048393279680078,386.0,328.5,RX6V3C2
HPE__Yes,0.003934524561162611,339.0,0.0006190568924046289,319.0,329.0,HPE
AGER__4,0.001928932253598914,466.0,0.0010181961489254812,195.0,330.5,AGER
DDIMER__Yes,0.003570318575473852,361.0,0.000654839817491818,304.0,332.5,DDIMER
TOTPROC__Missing,0.007174881592123095,229.0,0.0002979368661527051,439.0,334.0,TOTPROC
DRUGID14__frequency,0.008364563988087381,200.0,0.0002313076302628563,471.0,335.5,DRUGID14
RFV33D__frequency,2.780596320883788e-05,596.0,0.0036822222522563093,78.0,337.0,RFV33D
MED17__frequency,0.007207652950400822,227.0,0.0002741418891003091,447.0,337.0,MED17
FEVER_FLAG__Yes,0.007382602217609113,223.0,0.00026284296813576394,454.0,338.5,FEVER_FLAG
CONTSUB1__2,0.004290270756608594,328.0,0.0004905471969792536,351.0,339.5,CONTSUB1
SURGDAY__0,0.0027753057211810095,402.0,0.0007427477651408357,278.0,340.0,SURGDAY
RX7V2C2__frequency,0.004867388066087441,297.0,0.0004065440241525387,385.0,341.0,RX7V2C2
COMSTAT10__1,0.009645509637902228,178.0,0.0001841741443323908,507.0,342.5,COMSTAT10
VMONTH__11,0.004360903771242652,327.0,0.0004665067686727573,359.0,343.0,VMONTH
