source_variable,mutual_information,tree_importance
MRI,0.004447266369096203,0.0012107813144703206
DRUGID8,0.021405401890678633,0.0012021906448056424
CONTSUB9,0.013547764118143402,0.001183731099660261
DRUGID9,0.01666867398916816,0.0011832812778349445
BEDREG,0.000554343766842047,0.0011671825851718343
PRDIAG3,0.013127128469650362,0.001160834039244459
RACER,0.005719342272911598,0.0011527883359287003
PAYMCAID,0.0035391042874572953,0.0011477897856210532
COMSTAT1,0.006073092468913632,0.0011473373949591095
GPMED11,0.011436417691002232,0.0011449923989332203
RX8V2C1,0.018688877917169,0.0011420729926865136
EMRED,0.0,0.001130275448456351
TACHYCARDIC_FLAG,0.0,0.0011148860929793367
COMSTAT8,0.022814793247249998,0.001103559563504908
FLUTEST,0.002114240170050463,0.00109317827164538
URINECX,0.002814630968608345,0.0010832827119304595
INJURY_ENC,0.008120507200253702,0.001082667989941954
RX11CAT1,0.015108409340588436,0.0010710207781694234
PAYPRIV,0.0,0.001070474805896846
BUNCREAT,0.004806575441802741,0.0010647894443330905
RX9V2C1,0.02302681161023723,0.0010551580847486214
MED8,0.017390398525874762,0.0010100037180001743
ULTRASND,0.009291073624697832,0.0010073061251303621
TOXSCREN,0.010055723438184616,0.0010016884503398892
DASHBORD,0.002441026709715466,0.00099843194866442
MSA,0.003118713378787552,0.000987915021910712
DRUGID10,0.017157767370818755,0.0009849061154481003
RX7V3C1,0.01747531814406722,0.0009839735774721805
OBESITY,0.008213026359416453,0.0009757117269179416
PRESCR6,0.021845664872325088,0.0009661611500413515
RX4V1C2,0.016999466768011118,0.0009648527191259084
RX4V2C2,0.006109073627956985,0.0009433764095364901
MED10,0.018492424505744953,0.0009416078156340915
PREGTEST,0.0,0.000933472496640188
PHYSASST,0.0003916554978806719,0.0009231869643264931
COMSTAT2,0.012983506140370915,0.000900792691663826
COMSTAT9,0.020534051926465846,0.0008865672035340499
PRESCR7,0.018423571070448785,0.000883554807694104
MRICONTRAST,0.004541172622772427,0.0008788864270363276
RX4CAT2,0.008327974475487387,0.000871654943280185
RX2V3C2,0.004365237066767946,0.0008695353084329747
RX5CAT2,0.009397248628057353,0.0008613821412125075
EHRINSE,0.00303570104967843,0.0008558955201677795
RX12V2C1,0.01219401715155044,0.0008427431424056493
BAC,0.0,0.0008392525944589058
DEPRN,0.0012563313056659364,0.0008330740479059878
RX1V3C2,0.007266530360780843,0.000829175867737211
RX11V1C1,0.01986850531153106,0.0008174089414348438
ASTHMA,0.0,0.000801809118676065
OTHRTEST,0.0,0.0007991897441101353
RX5V2C2,0.00761455615599993,0.0007962514337283075
RX10CAT1,0.01572953852237835,0.000792490958280555
DRUGID11,0.015035231300667862,0.0007900592003329064
CAUSE2,0.0032610056242614593,0.0007870326355422062
RACERFL,0.0,0.0007856939965483957
COMSTAT6,0.02312763813090135,0.0007765909258602868
ABG,0.0016714542252214137,0.0007719967219161657
ETHNICFL,0.0,0.0007703008280766058
