variable_name,label,pandas_dtype,non_null_count,missing_count,missing_percentage,n_unique,role
RX12CAT3,"For RX12, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,4,general
RX12CAT4,"For RX12, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX12V1C1,"For RX12, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,19,general
RX12V1C2,"For RX12, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,12,general
RX12V1C3,"For RX12, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,3,general
RX12V1C4,"For RX12, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,3,general
RX12V2C1,"For RX12, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,81,general
RX12V2C2,"For RX12, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,22,general
RX12V2C3,"For RX12, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,4,general
RX12V2C4,"For RX12, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,3,general
RX12V3C1,"For RX12, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,63,general
RX12V3C2,"For RX12, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,13,general
RX12V3C3,"For RX12, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,3,general
RX12V3C4,"For RX12, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,3,general
DRUGID13,Drug ID code for medication #13,str,16025,0,0.0,189,general
PRESCR13,Prescription status code for medication #13,float64,387,15638,97.59,3,general
CONTSUB13,Controlled substance status code for medication #13,float64,387,15638,97.59,5,general
COMSTAT13,Composition status code for medication #13,float64,387,15638,97.59,3,general
RX13CAT1,"For RX13, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,113,general
RX13CAT2,"For RX13, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,29,general
RX13CAT3,"For RX13, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,5,general
RX13CAT4,"For RX13, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX13V1C1,"For RX13, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,20,general
RX13V1C2,"For RX13, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,15,general
RX13V1C3,"For RX13, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,4,general
RX13V1C4,"For RX13, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,3,general
RX13V2C1,"For RX13, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,73,general
RX13V2C2,"For RX13, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,26,general
RX13V2C3,"For RX13, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,5,general
RX13V2C4,"For RX13, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,3,general
RX13V3C1,"For RX13, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,70,general
RX13V3C2,"For RX13, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,12,general
RX13V3C3,"For RX13, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,3,general
RX13V3C4,"For RX13, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,3,general
DRUGID14,Drug ID code for medication #14,str,16025,0,0.0,169,general
PRESCR14,Prescription status code for medication #14,float64,324,15701,97.98,4,general
CONTSUB14,Controlled substance status code for medication #14,float64,324,15701,97.98,5,general
COMSTAT14,Composition status code for medication #14,float64,324,15701,97.98,3,general
RX14CAT1,"For RX14, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,98,general
RX14CAT2,"For RX14, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,20,general
RX14CAT3,"For RX14, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,4,general
RX14CAT4,"For RX14, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,2,general
RX14V1C1,"For RX14, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,19,general
RX14V1C2,"For RX14, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,12,general
RX14V1C3,"For RX14, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,3,general
RX14V1C4,"For RX14, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,2,general
RX14V2C1,"For RX14, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,65,general
RX14V2C2,"For RX14, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,16,general
RX14V2C3,"For RX14, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,4,general
RX14V2C4,"For RX14, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,2,general
RX14V3C1,"For RX14, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,60,general
RX14V3C2,"For RX14, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,11,general
RX14V3C3,"For RX14, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,3,general
RX14V3C4,"For RX14, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,2,general
DRUGID15,Drug ID code for medication #15,str,16025,0,0.0,161,general
PRESCR15,Prescription status code for medication #15,float64,272,15753,98.3,3,general
CONTSUB15,Controlled substance status code for medication #15,float64,272,15753,98.3,5,general
COMSTAT15,Composition status code for medication #15,float64,272,15753,98.3,3,general
RX15CAT1,"For RX15, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,105,general
RX15CAT2,"For RX15, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,26,general
RX15CAT3,"For RX15, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,5,general
RX15CAT4,"For RX15, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX15V1C1,"For RX15, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,18,general
RX15V1C2,"For RX15, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,13,general
RX15V1C3,"For RX15, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,3,general
RX15V1C4,"For RX15, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,3,general
RX15V2C1,"For RX15, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,71,general
RX15V2C2,"For RX15, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,20,general
RX15V2C3,"For RX15, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,4,general
RX15V2C4,"For RX15, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,3,general
RX15V3C1,"For RX15, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,60,general
RX15V3C2,"For RX15, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,13,general
RX15V3C3,"For RX15, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,4,general
RX15V3C4,"For RX15, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,3,general
DRUGID16,Drug ID code for medication #16,str,16025,0,0.0,139,general
PRESCR16,Prescription status code for medication #16,float64,224,15801,98.6,4,general
CONTSUB16,Controlled substance status code for medication #16,float64,224,15801,98.6,5,general
COMSTAT16,Composition status code for medication #16,float64,224,15801,98.6,3,general
RX16CAT1,"For RX16, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,95,general
RX16CAT2,"For RX16, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,18,general
RX16CAT3,"For RX16, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,4,general
RX16CAT4,"For RX16, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,1,general
RX16V1C1,"For RX16, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,19,general
RX16V1C2,"For RX16, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,11,general
RX16V1C3,"For RX16, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,3,general
RX16V1C4,"For RX16, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,1,general
RX16V2C1,"For RX16, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,67,general
RX16V2C2,"For RX16, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,16,general
RX16V2C3,"For RX16, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,3,general
RX16V2C4,"For RX16, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,1,general
RX16V3C1,"For RX16, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,55,general
RX16V3C2,"For RX16, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,9,general
RX16V3C3,"For RX16, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,3,general
RX16V3C4,"For RX16, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,1,general
DRUGID17,Drug ID code for medication #17,str,16025,0,0.0,118,general
PRESCR17,Prescription status code for medication #17,float64,191,15834,98.81,4,general
CONTSUB17,Controlled substance status code for medication #17,float64,191,15834,98.81,5,general
COMSTAT17,Composition status code for medication #17,float64,191,15834,98.81,3,general
RX17CAT1,"For RX17, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,77,general
RX17CAT2,"For RX17, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,13,general
RX17CAT3,"For RX17, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,2,general
RX17CAT4,"For RX17, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,1,general
RX17V1C1,"For RX17, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,17,general
RX17V1C2,"For RX17, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,7,general
RX17V1C3,"For RX17, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,2,general
RX17V1C4,"For RX17, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,1,general
RX17V2C1,"For RX17, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,56,general
RX17V2C2,"For RX17, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,12,general
RX17V2C3,"For RX17, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,2,general
RX17V2C4,"For RX17, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,1,general
RX17V3C1,"For RX17, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,44,general
RX17V3C2,"For RX17, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,6,general
RX17V3C3,"For RX17, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,2,general
RX17V3C4,"For RX17, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,1,general
DRUGID18,Drug ID code for medication #18,str,16025,0,0.0,101,general
PRESCR18,Prescription status code for medication #18,float64,155,15870,99.03,4,general
