variable_name,missing_count,missing_percentage
SUBSTAB,0,0.0
NOCHRON,0,0.0
TOTCHRON,0,0.0
DIAGSCRN,0,0.0
ABG,0,0.0
BAC,0,0.0
BMP,0,0.0
BNP,0,0.0
BUNCREAT,0,0.0
CARDENZ,0,0.0
CBC,0,0.0
CMP,0,0.0
BLOODCX,0,0.0
TRTCX,0,0.0
URINECX,0,0.0
WOUNDCX,0,0.0
OTHCX,0,0.0
DDIMER,0,0.0
ELECTROL,0,0.0
GLUCOSE,0,0.0
LACTATE,0,0.0
LFT,0,0.0
PTTINR,0,0.0
OTHERBLD,0,0.0
CARDMON,0,0.0
EKG,0,0.0
HIVTEST,0,0.0
FLUTEST,0,0.0
PREGTEST,0,0.0
TOXSCREN,0,0.0
URINE,0,0.0
OTHRTEST,0,0.0
ANYIMAGE,0,0.0
XRAY,0,0.0
CATSCAN,0,0.0
CTCONTRAST,0,0.0
CTAB,0,0.0
CTCHEST,0,0.0
CTHEAD,0,0.0
CTOTHER,0,0.0
CTUNK,0,0.0
MRI,0,0.0
MRICONTRAST,0,0.0
ULTRASND,0,0.0
OTHIMAGE,0,0.0
COVIDTEST,0,0.0
COVIDANTIBODY,0,0.0
TOTDIAG,0,0.0
PROC,0,0.0
BPAP,0,0.0
BLADCATH,0,0.0
CASTSPLINT,0,0.0
CENTLINE,0,0.0
CPR,0,0.0
ENDOINT,0,0.0
INCDRAIN,0,0.0
IVFLUIDS,0,0.0
LUMBAR,0,0.0
NEBUTHER,0,0.0
PELVIC,0,0.0
SKINADH,0,0.0
SUTURE,0,0.0
OTHPROC,0,0.0
TOTPROC,0,0.0
MED,0,0.0
MED1,0,0.0
MED2,0,0.0
MED3,0,0.0
MED4,0,0.0
MED5,0,0.0
MED6,0,0.0
MED7,0,0.0
MED8,0,0.0
MED9,0,0.0
MED10,0,0.0
MED11,0,0.0
MED12,0,0.0
MED13,0,0.0
MED14,0,0.0
MED15,0,0.0
MED16,0,0.0
MED17,0,0.0
MED18,0,0.0
MED19,0,0.0
MED20,0,0.0
MED21,0,0.0
MED22,0,0.0
MED23,0,0.0
MED24,0,0.0
MED25,0,0.0
MED26,0,0.0
MED27,0,0.0
MED28,0,0.0
MED29,0,0.0
MED30,0,0.0
GPMED1,0,0.0
GPMED2,0,0.0
GPMED3,0,0.0
GPMED4,0,0.0
GPMED5,0,0.0
GPMED6,0,0.0
GPMED7,0,0.0
GPMED8,0,0.0
GPMED9,0,0.0
GPMED10,0,0.0
GPMED11,0,0.0
GPMED12,0,0.0
GPMED13,0,0.0
GPMED14,0,0.0
GPMED15,0,0.0
GPMED16,0,0.0
GPMED17,0,0.0
GPMED18,0,0.0
GPMED19,0,0.0
GPMED20,0,0.0
GPMED21,0,0.0
GPMED22,0,0.0
GPMED23,0,0.0
GPMED24,0,0.0
GPMED25,0,0.0
GPMED26,0,0.0
GPMED27,0,0.0
GPMED28,0,0.0
GPMED29,0,0.0
GPMED30,0,0.0
NUMGIV,0,0.0
NUMDIS,0,0.0
NUMMED,0,0.0
VITALSD,0,0.0
TEMPDF,0,0.0
PULSED,0,0.0
RESPRD,0,0.0
BPSYSD,0,0.0
BPDIASD,0,0.0
NOPROVID,0,0.0
ATTPHYS,0,0.0
RESINT,0,0.0
CONSULT,0,0.0
RNLPN,0,0.0
NURSEPR,0,0.0
PHYSASST,0,0.0
EMT,0,0.0
MHPROV,0,0.0
OTHPROV,0,0.0
NODISP,0,0.0
NOFU,0,0.0
RETRNED,0,0.0
RETREFFU,0,0.0
LWBS,0,0.0
LBTC,0,0.0
LEFTAMA,0,0.0
DOA,0,0.0
DIEDED,0,0.0
TRANNH,0,0.0
TRANPSYC,0,0.0
TRANOTH,0,0.0
ADMITHOS,0,0.0
OBSHOS,0,0.0
OBSDIS,0,0.0
OTHDISP,0,0.0
ADMIT,0,0.0
ADMTPHYS,0,0.0
LOS,0,0.0
HDDIAG1,0,0.0
HDDIAG2,0,0.0
HDDIAG3,0,0.0
HDDIAG4,0,0.0
HDDIAG5,0,0.0
HDSTAT,0,0.0
ADISP,0,0.0
OBSSTAY,0,0.0
STAY24,0,0.0
AGEFL,0,0.0
BDATEFL,0,0.0
SEXFL,0,0.0
ETHNICFL,0,0.0
RACERFL,0,0.0
HOSPCODE,0,0.0
PATCODE,0,0.0
EMRED,0,0.0
HHSMUE,0,0.0
EHRINSE,0,0.0
EDPRIM,0,0.0
EDINFO,0,0.0
OBSCLIN,0,0.0
OBSSEP,0,0.0
OBSPHYSED,0,0.0
OBSHOSP,0,0.0
OBSPHYSOT,0,0.0
OBSPHYSUN,0,0.0
BOARD,0,0.0
BOARDHOS,0,0.0
AMBDIV,0,0.0
TOTHRDIVR,0,0.0
REGDIV,0,0.0
ADMDIV,0,0.0
INCSHX,0,0.0
INCPHYS,0,0.0
EXPSPACE,0,0.0
BEDREG,0,0.0
KIOSELCHK,0,0.0
CATRIAGE,0,0.0
IMBED,0,0.0
ADVTRIAG,0,0.0
PHYSPRACTRIA,0,0.0
FASTTRAK,0,0.0
EDPTOR,0,0.0
DASHBORD,0,0.0
RFID,0,0.0
WIRELESS,0,0.0
ZONENURS,0,0.0
POOLNURS,0,0.0
SURGDAY,0,0.0
BEDCZAR,0,0.0
BEDDATA,0,0.0
HLIST,0,0.0
HLISTED,0,0.0
EMEDRES,0,0.0
REGION,0,0.0
MSA,0,0.0
DRUGID1,0,0.0
RX1CAT1,0,0.0
RX1CAT2,0,0.0
RX1CAT3,0,0.0
RX1CAT4,0,0.0
RX1V1C1,0,0.0
RX1V1C2,0,0.0
RX1V1C3,0,0.0
RX1V1C4,0,0.0
RX1V2C1,0,0.0
RX1V2C2,0,0.0
RX1V2C3,0,0.0
RX1V2C4,0,0.0
RX1V3C1,0,0.0
RX1V3C2,0,0.0
RX1V3C3,0,0.0
RX1V3C4,0,0.0
DRUGID2,0,0.0
RX2CAT1,0,0.0
RX2CAT2,0,0.0
RX2CAT3,0,0.0
RX2CAT4,0,0.0
RX2V1C1,0,0.0
RX2V1C2,0,0.0
RX2V1C3,0,0.0
RX2V1C4,0,0.0
RX2V2C1,0,0.0
RX2V2C2,0,0.0
RX2V2C3,0,0.0
RX2V2C4,0,0.0
RX2V3C1,0,0.0
RX2V3C2,0,0.0
RX2V3C3,0,0.0
RX2V3C4,0,0.0
DRUGID3,0,0.0
RX3CAT1,0,0.0
RX3CAT2,0,0.0
RX3CAT3,0,0.0
RX3CAT4,0,0.0
RX3V1C1,0,0.0
RX3V1C2,0,0.0
RX3V1C3,0,0.0
RX3V1C4,0,0.0
RX3V2C1,0,0.0
RX3V2C2,0,0.0
RX3V2C3,0,0.0
RX3V2C4,0,0.0
RX3V3C1,0,0.0
RX3V3C2,0,0.0
RX3V3C3,0,0.0
RX3V3C4,0,0.0
DRUGID4,0,0.0
RX4CAT1,0,0.0
RX4CAT2,0,0.0
RX4CAT3,0,0.0
RX4CAT4,0,0.0
RX4V1C1,0,0.0
RX4V1C2,0,0.0
RX4V1C3,0,0.0
RX4V1C4,0,0.0
RX4V2C1,0,0.0
RX4V2C2,0,0.0
RX4V2C3,0,0.0
RX4V2C4,0,0.0
RX4V3C1,0,0.0
RX4V3C2,0,0.0
RX4V3C3,0,0.0
RX4V3C4,0,0.0
DRUGID5,0,0.0
RX5CAT1,0,0.0
RX5CAT2,0,0.0
RX5CAT3,0,0.0
RX5CAT4,0,0.0
RX5V1C1,0,0.0
RX5V1C2,0,0.0
RX5V1C3,0,0.0
RX5V1C4,0,0.0
RX5V2C1,0,0.0
RX5V2C2,0,0.0
RX5V2C3,0,0.0
RX5V2C4,0,0.0
RX5V3C1,0,0.0
RX5V3C2,0,0.0
RX5V3C3,0,0.0
RX5V3C4,0,0.0
DRUGID6,0,0.0
RX6CAT1,0,0.0
RX6CAT2,0,0.0
RX6CAT3,0,0.0
RX6CAT4,0,0.0
RX6V1C1,0,0.0
RX6V1C2,0,0.0
RX6V1C3,0,0.0
RX6V1C4,0,0.0
RX6V2C1,0,0.0
RX6V2C2,0,0.0
RX6V2C3,0,0.0
RX6V2C4,0,0.0
RX6V3C1,0,0.0
RX6V3C2,0,0.0
RX6V3C3,0,0.0
RX6V3C4,0,0.0
DRUGID7,0,0.0
RX7CAT1,0,0.0
RX7CAT2,0,0.0
RX7CAT3,0,0.0
RX7CAT4,0,0.0
RX7V1C1,0,0.0
RX7V1C2,0,0.0
RX7V1C3,0,0.0
RX7V1C4,0,0.0
RX7V2C1,0,0.0
RX7V2C2,0,0.0
RX7V2C3,0,0.0
RX7V2C4,0,0.0
RX7V3C1,0,0.0
RX7V3C2,0,0.0
RX7V3C3,0,0.0
RX7V3C4,0,0.0
DRUGID8,0,0.0
RX8CAT1,0,0.0
RX8CAT2,0,0.0
RX8CAT3,0,0.0
RX8CAT4,0,0.0
RX8V1C1,0,0.0
RX8V1C2,0,0.0
RX8V1C3,0,0.0
RX8V1C4,0,0.0
RX8V2C1,0,0.0
RX8V2C2,0,0.0
RX8V2C3,0,0.0
RX8V2C4,0,0.0
RX8V3C1,0,0.0
RX8V3C2,0,0.0
RX8V3C3,0,0.0
RX8V3C4,0,0.0
DRUGID9,0,0.0
RX30V1C4,0,0.0
RX29V2C4,0,0.0
ARRTIME,0,0.0
RX9CAT1,0,0.0
RX9CAT2,0,0.0
RX9CAT3,0,0.0
RX9CAT4,0,0.0
RX9V1C1,0,0.0
RX9V1C2,0,0.0
RX9V1C3,0,0.0
RX9V1C4,0,0.0
RX9V2C1,0,0.0
RX9V2C2,0,0.0
RX9V2C3,0,0.0
RX9V2C4,0,0.0
RX9V3C1,0,0.0
RX9V3C2,0,0.0
RX9V3C3,0,0.0
RX9V3C4,0,0.0
DRUGID10,0,0.0
WAITTIME,0,0.0
LOV,0,0.0
AGE,0,0.0
RX10CAT1,0,0.0
RX10CAT2,0,0.0
RX10CAT3,0,0.0
RX10CAT4,0,0.0
RX10V1C1,0,0.0
RX10V1C2,0,0.0
RX10V1C3,0,0.0
RX10V1C4,0,0.0
RX10V2C1,0,0.0
RX10V2C2,0,0.0
RX10V2C3,0,0.0
RX10V2C4,0,0.0
RX10V3C1,0,0.0
RX10V3C2,0,0.0
RX10V3C3,0,0.0
RX10V3C4,0,0.0
DRUGID11,0,0.0
AGER,0,0.0
AGEDAYS,0,0.0
RESIDNCE,0,0.0
RX11CAT1,0,0.0
RX11CAT2,0,0.0
RX11CAT3,0,0.0
RX11CAT4,0,0.0
RX11V1C1,0,0.0
RX11V1C2,0,0.0
RX11V1C3,0,0.0
RX11V1C4,0,0.0
RX11V2C1,0,0.0
RX11V2C2,0,0.0
RX11V2C3,0,0.0
RX11V2C4,0,0.0
RX11V3C1,0,0.0
RX11V3C2,0,0.0
RX11V3C3,0,0.0
RX11V3C4,0,0.0
DRUGID12,0,0.0
SEX,0,0.0
ETHUN,0,0.0
ETHIM,0,0.0
RX12CAT1,0,0.0
RX12CAT2,0,0.0
RX12CAT3,0,0.0
RX12CAT4,0,0.0
RX12V1C1,0,0.0
RX12V1C2,0,0.0
RX12V1C3,0,0.0
RX12V1C4,0,0.0
RX12V2C1,0,0.0
RX12V2C2,0,0.0
RX12V2C3,0,0.0
RX12V2C4,0,0.0
RX12V3C1,0,0.0
RX12V3C2,0,0.0
RX12V3C3,0,0.0
RX12V3C4,0,0.0
DRUGID13,0,0.0
RACEUN,0,0.0
RACER,0,0.0
RACERETH,0,0.0
RX13CAT1,0,0.0
RX13CAT2,0,0.0
RX13CAT3,0,0.0
RX13CAT4,0,0.0
RX13V1C1,0,0.0
RX13V1C2,0,0.0
RX13V1C3,0,0.0
RX13V1C4,0,0.0
RX13V2C1,0,0.0
RX13V2C2,0,0.0
RX13V2C3,0,0.0
RX13V2C4,0,0.0
RX13V3C1,0,0.0
RX13V3C2,0,0.0
RX13V3C3,0,0.0
RX13V3C4,0,0.0
DRUGID14,0,0.0
ARREMS,0,0.0
VDAYR,0,0.0
NOPAY,0,0.0
RX14CAT1,0,0.0
RX14CAT2,0,0.0
RX14CAT3,0,0.0
RX14CAT4,0,0.0
RX14V1C1,0,0.0
RX14V1C2,0,0.0
RX14V1C3,0,0.0
RX14V1C4,0,0.0
RX14V2C1,0,0.0
RX14V2C2,0,0.0
RX14V2C3,0,0.0
RX14V2C4,0,0.0
RX14V3C1,0,0.0
RX14V3C2,0,0.0
RX14V3C3,0,0.0
RX14V3C4,0,0.0
DRUGID15,0,0.0
PAYPRIV,0,0.0
PAYMCARE,0,0.0
PAYMCAID,0,0.0
RX15CAT1,0,0.0
RX15CAT2,0,0.0
RX15CAT3,0,0.0
RX15CAT4,0,0.0
RX15V1C1,0,0.0
RX15V1C2,0,0.0
RX15V1C3,0,0.0
RX15V1C4,0,0.0
RX15V2C1,0,0.0
RX15V2C2,0,0.0
RX15V2C3,0,0.0
RX15V2C4,0,0.0
RX15V3C1,0,0.0
RX15V3C2,0,0.0
RX15V3C3,0,0.0
RX15V3C4,0,0.0
DRUGID16,0,0.0
PAYWKCMP,0,0.0
PAYSELF,0,0.0
PAYNOCHG,0,0.0
RX16CAT1,0,0.0
RX16CAT2,0,0.0
RX16CAT3,0,0.0
RX16CAT4,0,0.0
RX16V1C1,0,0.0
RX16V1C2,0,0.0
RX16V1C3,0,0.0
RX16V1C4,0,0.0
RX16V2C1,0,0.0
RX16V2C2,0,0.0
RX16V2C3,0,0.0
RX16V2C4,0,0.0
RX16V3C1,0,0.0
RX16V3C2,0,0.0
RX16V3C3,0,0.0
RX16V3C4,0,0.0
DRUGID17,0,0.0
PAYOTH,0,0.0
PAYDK,0,0.0
PAYTYPER,0,0.0
RX17CAT1,0,0.0
RX17CAT2,0,0.0
RX17CAT3,0,0.0
RX17CAT4,0,0.0
RX17V1C1,0,0.0
RX17V1C2,0,0.0
RX17V1C3,0,0.0
RX17V1C4,0,0.0
RX17V2C1,0,0.0
RX17V2C2,0,0.0
RX17V2C3,0,0.0
RX17V2C4,0,0.0
RX17V3C1,0,0.0
RX17V3C2,0,0.0
RX17V3C3,0,0.0
RX17V3C4,0,0.0
DRUGID18,0,0.0
TEMPF,0,0.0
PULSE,0,0.0
RESPR,0,0.0
RX18CAT1,0,0.0
RX18CAT2,0,0.0
RX18CAT3,0,0.0
RX18CAT4,0,0.0
RX18V1C1,0,0.0
RX18V1C2,0,0.0
RX18V1C3,0,0.0
RX18V1C4,0,0.0
RX18V2C1,0,0.0
RX18V2C2,0,0.0
RX18V2C3,0,0.0
RX18V2C4,0,0.0
RX18V3C1,0,0.0
RX18V3C2,0,0.0
RX18V3C3,0,0.0
RX18V3C4,0,0.0
DRUGID19,0,0.0
BPSYS,0,0.0
BPDIAS,0,0.0
POPCT,0,0.0
RX19CAT1,0,0.0
RX19CAT2,0,0.0
RX19CAT3,0,0.0
RX19CAT4,0,0.0
RX19V1C1,0,0.0
RX19V1C2,0,0.0
RX19V1C3,0,0.0
RX19V1C4,0,0.0
RX19V2C1,0,0.0
RX19V2C2,0,0.0
RX19V2C3,0,0.0
RX19V2C4,0,0.0
RX19V3C1,0,0.0
RX19V3C2,0,0.0
RX19V3C3,0,0.0
RX19V3C4,0,0.0
DRUGID20,0,0.0
IMMEDR,0,0.0
PAINSCALE,0,0.0
SEEN72,0,0.0
RX20CAT1,0,0.0
RX20CAT2,0,0.0
RX20CAT3,0,0.0
RX20CAT4,0,0.0
RX20V1C1,0,0.0
RX20V1C2,0,0.0
RX20V1C3,0,0.0
RX20V1C4,0,0.0
RX20V2C1,0,0.0
RX20V2C2,0,0.0
RX20V2C3,0,0.0
RX20V2C4,0,0.0
RX20V3C1,0,0.0
RX20V3C2,0,0.0
RX20V3C3,0,0.0
RX20V3C4,0,0.0
DRUGID21,0,0.0
RFV1,0,0.0
RFV2,0,0.0
RFV3,0,0.0
RX21CAT1,0,0.0
RX21CAT2,0,0.0
RX21CAT3,0,0.0
RX21CAT4,0,0.0
RX21V1C1,0,0.0
RX21V1C2,0,0.0
RX21V1C3,0,0.0
RX21V1C4,0,0.0
RX21V2C1,0,0.0
RX21V2C2,0,0.0
RX21V2C3,0,0.0
RX21V2C4,0,0.0
RX21V3C1,0,0.0
RX21V3C2,0,0.0
RX21V3C3,0,0.0
RX21V3C4,0,0.0
DRUGID22,0,0.0
RFV4,0,0.0
RFV5,0,0.0
RFV13D,0,0.0
RX22CAT1,0,0.0
RX22CAT2,0,0.0
RX22CAT3,0,0.0
RX22CAT4,0,0.0
RX22V1C1,0,0.0
RX22V1C2,0,0.0
RX22V1C3,0,0.0
RX22V1C4,0,0.0
RX22V2C1,0,0.0
RX22V2C2,0,0.0
RX22V2C3,0,0.0
RX22V2C4,0,0.0
RX22V3C1,0,0.0
RX22V3C2,0,0.0
RX22V3C3,0,0.0
RX22V3C4,0,0.0
DRUGID23,0,0.0
RFV23D,0,0.0
RFV33D,0,0.0
RFV43D,0,0.0
RX23CAT1,0,0.0
RX23CAT2,0,0.0
RX23CAT3,0,0.0
RX23CAT4,0,0.0
RX23V1C1,0,0.0
RX23V1C2,0,0.0
RX23V1C3,0,0.0
RX23V1C4,0,0.0
RX23V2C1,0,0.0
RX23V2C2,0,0.0
RX23V2C3,0,0.0
RX23V2C4,0,0.0
RX23V3C1,0,0.0
RX23V3C2,0,0.0
RX23V3C3,0,0.0
RX23V3C4,0,0.0
DRUGID24,0,0.0
RFV53D,0,0.0
EPISODE,0,0.0
INJURY,0,0.0
RX24CAT1,0,0.0
RX24CAT2,0,0.0
RX24CAT3,0,0.0
RX24CAT4,0,0.0
RX24V1C1,0,0.0
RX24V1C2,0,0.0
RX24V1C3,0,0.0
RX24V1C4,0,0.0
RX24V2C1,0,0.0
RX24V2C2,0,0.0
RX24V2C3,0,0.0
RX24V2C4,0,0.0
RX24V3C1,0,0.0
RX24V3C2,0,0.0
RX24V3C3,0,0.0
RX24V3C4,0,0.0
DRUGID25,0,0.0
INJPOISAD,0,0.0
INJURY72,0,0.0
INTENT15,0,0.0
RX25CAT1,0,0.0
RX25CAT2,0,0.0
RX25CAT3,0,0.0
RX25CAT4,0,0.0
RX25V1C1,0,0.0
RX25V1C2,0,0.0
RX25V1C3,0,0.0
RX25V1C4,0,0.0
RX25V2C1,0,0.0
RX25V2C2,0,0.0
RX25V2C3,0,0.0
RX25V2C4,0,0.0
RX25V3C1,0,0.0
RX25V3C2,0,0.0
RX25V3C3,0,0.0
RX25V3C4,0,0.0
DRUGID26,0,0.0
INJURY_ENC,0,0.0
CAUSE1,0,0.0
CAUSE2,0,0.0
RX26CAT1,0,0.0
RX26CAT2,0,0.0
RX26CAT3,0,0.0
RX26CAT4,0,0.0
RX26V1C1,0,0.0
RX26V1C2,0,0.0
RX26V1C3,0,0.0
RX26V1C4,0,0.0
RX26V2C1,0,0.0
RX26V2C2,0,0.0
RX26V2C3,0,0.0
RX26V2C4,0,0.0
RX26V3C1,0,0.0
RX26V3C2,0,0.0
RX26V3C3,0,0.0
RX26V3C4,0,0.0
DRUGID27,0,0.0
CAUSE3,0,0.0
DIAG1,0,0.0
DIAG2,0,0.0
RX27CAT1,0,0.0
RX27CAT2,0,0.0
RX27CAT3,0,0.0
RX27CAT4,0,0.0
RX27V1C1,0,0.0
RX27V1C2,0,0.0
RX27V1C3,0,0.0
RX27V1C4,0,0.0
RX27V2C1,0,0.0
RX27V2C2,0,0.0
RX27V2C3,0,0.0
RX27V2C4,0,0.0
RX27V3C1,0,0.0
RX27V3C2,0,0.0
RX27V3C3,0,0.0
RX27V3C4,0,0.0
DRUGID28,0,0.0
DIAG3,0,0.0
DIAG4,0,0.0
DIAG5,0,0.0
RX28CAT1,0,0.0
RX28CAT2,0,0.0
RX28CAT3,0,0.0
RX28CAT4,0,0.0
RX28V1C1,0,0.0
RX28V1C2,0,0.0
RX28V1C3,0,0.0
RX28V1C4,0,0.0
RX28V2C1,0,0.0
RX28V2C2,0,0.0
RX28V2C3,0,0.0
RX28V2C4,0,0.0
RX28V3C1,0,0.0
RX28V3C2,0,0.0
RX28V3C3,0,0.0
RX28V3C4,0,0.0
DRUGID29,0,0.0
PRDIAG1,0,0.0
PRDIAG2,0,0.0
PRDIAG3,0,0.0
RX29CAT1,0,0.0
RX29CAT2,0,0.0
RX29CAT3,0,0.0
RX29CAT4,0,0.0
RX29V1C1,0,0.0
RX29V1C2,0,0.0
RX29V1C3,0,0.0
RX29V1C4,0,0.0
RX29V2C1,0,0.0
RX29V2C2,0,0.0
RX29V2C3,0,0.0
RX30V1C3,0,0.0
RX29V3C1,0,0.0
RX29V3C2,0,0.0
RX29V3C3,0,0.0
RX29V3C4,0,0.0
DRUGID30,0,0.0
PRDIAG4,0,0.0
PRDIAG5,0,0.0
ETOHAB,0,0.0
RX30CAT1,0,0.0
RX30CAT2,0,0.0
RX30CAT3,0,0.0
RX30CAT4,0,0.0
RX30V1C1,0,0.0
RX30V1C2,0,0.0
VMONTH,0,0.0
BOARDED,0,0.0
RX30V2C1,0,0.0
RX30V2C2,0,0.0
RX30V2C3,0,0.0
RX30V2C4,0,0.0
RX30V3C1,0,0.0
RX30V3C2,0,0.0
RX30V3C3,0,0.0
RX30V3C4,0,0.0
SETTYPE,0,0.0
YEAR,0,0.0
CSTRATM,0,0.0
CPSUM,0,0.0
PATWT,0,0.0
ALZHD,0,0.0
AMBTRANSFER,0,0.0
