variable_name,n_unique,missing_count,missing_percentage,top_values,rare_category_count
WOUNDCX,2,0,0.0,0.0=15961 (99.6%); 1.0=64 (0.4%),1
OTHCX,2,0,0.0,0.0=15866 (99.0%); 1.0=159 (1.0%),1
DDIMER,2,0,0.0,0.0=15485 (96.6%); 1.0=540 (3.4%),0
ELECTROL,2,0,0.0,0.0=15799 (98.6%); 1.0=226 (1.4%),0
GLUCOSE,2,0,0.0,0.0=14955 (93.3%); 1.0=1070 (6.7%),0
LACTATE,2,0,0.0,0.0=15264 (95.3%); 1.0=761 (4.7%),0
LFT,2,0,0.0,0.0=15404 (96.1%); 1.0=621 (3.9%),0
PTTINR,2,0,0.0,0.0=14740 (92.0%); 1.0=1285 (8.0%),0
OTHERBLD,2,0,0.0,0.0=12355 (77.1%); 1.0=3670 (22.9%),0
CARDMON,2,0,0.0,0.0=14571 (90.9%); 1.0=1454 (9.1%),0
EKG,2,0,0.0,0.0=11894 (74.2%); 1.0=4131 (25.8%),0
HIVTEST,2,0,0.0,0.0=15806 (98.6%); 1.0=219 (1.4%),0
FLUTEST,2,0,0.0,0.0=14412 (89.9%); 1.0=1613 (10.1%),0
PREGTEST,2,0,0.0,0.0=14588 (91.0%); 1.0=1437 (9.0%),0
TOXSCREN,2,0,0.0,0.0=15132 (94.4%); 1.0=893 (5.6%),0
URINE,2,0,0.0,0.0=12194 (76.1%); 1.0=3831 (23.9%),0
OTHRTEST,2,0,0.0,0.0=13189 (82.3%); 1.0=2836 (17.7%),0
ANYIMAGE,2,0,0.0,1.0=8206 (51.2%); 0.0=7819 (48.8%),0
XRAY,2,0,0.0,0.0=10463 (65.3%); 1.0=5562 (34.7%),0
CATSCAN,2,0,0.0,0.0=12453 (77.7%); 1.0=3572 (22.3%),0
CTCONTRAST,4,0,0.0,-9.0=12645 (78.9%); 2.0=2036 (12.7%); 1.0=1214 (7.6%); -8.0=130 (0.8%),1
CTAB,2,0,0.0,0.0=14534 (90.7%); 1.0=1491 (9.3%),0
CTCHEST,2,0,0.0,0.0=15502 (96.7%); 1.0=523 (3.3%),0
CTHEAD,2,0,0.0,0.0=14488 (90.4%); 1.0=1537 (9.6%),0
CTOTHER,2,0,0.0,0.0=15224 (95.0%); 1.0=801 (5.0%),0
CTUNK,2,0,0.0,0.0=15862 (99.0%); 1.0=163 (1.0%),0
MRI,2,0,0.0,0.0=15811 (98.7%); 1.0=214 (1.3%),0
MRICONTRAST,4,0,0.0,-9.0=15834 (98.8%); 2.0=128 (0.8%); 1.0=41 (0.3%); -8.0=22 (0.1%),3
ULTRASND,2,0,0.0,0.0=15053 (93.9%); 1.0=972 (6.1%),0
OTHIMAGE,2,0,0.0,0.0=15851 (98.9%); 1.0=174 (1.1%),0
COVIDTEST,2,0,0.0,0.0=12127 (75.7%); 1.0=3898 (24.3%),0
COVIDANTIBODY,2,0,0.0,0.0=15823 (98.7%); 1.0=202 (1.3%),0
PROC,3,0,0.0,0.0=8889 (55.5%); 1.0=6691 (41.8%); 2.0=445 (2.8%),0
BPAP,2,0,0.0,0.0=15925 (99.4%); 1.0=100 (0.6%),1
BLADCATH,2,0,0.0,0.0=15813 (98.7%); 1.0=212 (1.3%),0
CASTSPLINT,2,0,0.0,0.0=15365 (95.9%); 1.0=660 (4.1%),0
CENTLINE,2,0,0.0,0.0=15898 (99.2%); 1.0=127 (0.8%),1
CPR,2,0,0.0,0.0=16002 (99.9%); 1.0=23 (0.1%),1
ENDOINT,2,0,0.0,0.0=15976 (99.7%); 1.0=49 (0.3%),1
INCDRAIN,2,0,0.0,0.0=15906 (99.3%); 1.0=119 (0.7%),1
IVFLUIDS,2,0,0.0,0.0=11706 (73.0%); 1.0=4319 (27.0%),0
LUMBAR,2,0,0.0,0.0=16015 (99.9%); 1.0=10 (0.1%),1
NEBUTHER,2,0,0.0,0.0=15572 (97.2%); 1.0=453 (2.8%),0
PELVIC,2,0,0.0,0.0=15854 (98.9%); 1.0=171 (1.1%),0
SKINADH,2,0,0.0,0.0=15834 (98.8%); 1.0=191 (1.2%),0
SUTURE,2,0,0.0,0.0=15697 (98.0%); 1.0=328 (2.0%),0
OTHPROC,2,0,0.0,0.0=14617 (91.2%); 1.0=1408 (8.8%),0
TOTPROC,8,0,0.0,0.0=8889 (55.5%); 1.0=5464 (34.1%); 2.0=1030 (6.4%); -9.0=445 (2.8%); 3.0=154 (1.0%),4
MED,2,0,0.0,1.0=12391 (77.3%); 0.0=3634 (22.7%),0
MED1,906,0,0.0,-9=3634 (22.7%); 28495=931 (5.8%); 32905=846 (5.3%); 15395=563 (3.5%); 00260=554 (3.5%),891
MED2,892,0,0.0,-9=6885 (43.0%); 28495=502 (3.1%); 92105=468 (2.9%); 32905=434 (2.7%); 15395=380 (2.4%),884
MED3,828,0,0.0,-9=9709 (60.6%); 28495=324 (2.0%); 92105=292 (1.8%); 32905=199 (1.2%); 15395=155 (1.0%),824
MED4,737,0,0.0,-9=11771 (73.5%); 28495=210 (1.3%); 92105=149 (0.9%); 32905=101 (0.6%); 92161=90 (0.6%),735
MED5,675,0,0.0,-9=13149 (82.1%); 28495=102 (0.6%); 92105=95 (0.6%); 32905=65 (0.4%); 92161=54 (0.3%),674
MED6,591,0,0.0,-9=14031 (87.6%); 92105=62 (0.4%); 28495=48 (0.3%); 15395=36 (0.2%); 32905=30 (0.2%),590
MED7,530,0,0.0,-9=14570 (90.9%); 28495=42 (0.3%); 92105=38 (0.2%); 15395=21 (0.1%); 00260=20 (0.1%),529
MED8,469,0,0.0,-9=14958 (93.3%); 28495=16 (0.1%); 92105=16 (0.1%); 15395=15 (0.1%); 32905=14 (0.1%),468
MED9,412,0,0.0,-9=15193 (94.8%); 28495=16 (0.1%); 92141=15 (0.1%); 32905=13 (0.1%); 92164=12 (0.1%),411
MED10,363,0,0.0,-9=15379 (96.0%); 24590=12 (0.1%); 28495=10 (0.1%); 32905=9 (0.1%); 94114=8 (0.0%),362
MED11,312,0,0.0,-9=15489 (96.7%); 15395=10 (0.1%); 92105=9 (0.1%); 00042=8 (0.0%); 13118=7 (0.0%),311
MED12,265,0,0.0,-9=15565 (97.1%); 17370=9 (0.1%); 92105=8 (0.0%); 28495=7 (0.0%); 19840=7 (0.0%),264
MED13,246,0,0.0,-9=15638 (97.6%); 96125=6 (0.0%); 28495=5 (0.0%); 33588=5 (0.0%); 00042=5 (0.0%),245
MED14,224,0,0.0,-9=15701 (98.0%); 24590=7 (0.0%); 95133=5 (0.0%); 19840=5 (0.0%); 28495=4 (0.0%),223
MED15,200,0,0.0,-9=15753 (98.3%); 28495=5 (0.0%); 92164=5 (0.0%); 13118=4 (0.0%); 40520=4 (0.0%),199
MED16,165,0,0.0,-9=15801 (98.6%); 98131=4 (0.0%); 93352=3 (0.0%); 91096=3 (0.0%); 41315=3 (0.0%),164
MED17,142,0,0.0,-9=15834 (98.8%); 31997=4 (0.0%); 92105=4 (0.0%); 00260=3 (0.0%); 24890=3 (0.0%),141
MED18,122,0,0.0,-9=15870 (99.0%); 22315=5 (0.0%); 19840=3 (0.0%); 91096=3 (0.0%); 24890=3 (0.0%),121
MED19,101,0,0.0,-9=15902 (99.2%); 00042=6 (0.0%); 28495=4 (0.0%); 91096=3 (0.0%); 96125=3 (0.0%),100
MED20,94,0,0.0,-9=15917 (99.3%); 41315=3 (0.0%); 92141=3 (0.0%); 93237=3 (0.0%); 92105=3 (0.0%),93
MED21,70,0,0.0,-9=15945 (99.5%); 24590=4 (0.0%); 04307=3 (0.0%); 35260=2 (0.0%); 00260=2 (0.0%),69
MED22,58,0,0.0,-9=15962 (99.6%); 91000=3 (0.0%); 99999=3 (0.0%); 95092=2 (0.0%); 97126=2 (0.0%),57
MED23,47,0,0.0,-9=15971 (99.7%); 40520=3 (0.0%); 34575=2 (0.0%); 24590=2 (0.0%); 07096=2 (0.0%),46
MED24,36,0,0.0,-9=15988 (99.8%); 31997=2 (0.0%); 35245=2 (0.0%); 02805=1 (0.0%); 35250=1 (0.0%),35
MED25,28,0,0.0,-9=15996 (99.8%); 18555=2 (0.0%); 21695=2 (0.0%); 99033=1 (0.0%); 09175=1 (0.0%),27
MED26,21,0,0.0,-9=16005 (99.9%); 11197=1 (0.0%); 00213=1 (0.0%); 93211=1 (0.0%); 91069=1 (0.0%),20
MED27,13,0,0.0,-9=16011 (99.9%); 21160=2 (0.0%); 34575=2 (0.0%); 10251=1 (0.0%); 24590=1 (0.0%),12
MED28,12,0,0.0,-9=16013 (99.9%); 21160=2 (0.0%); 08161=1 (0.0%); 13161=1 (0.0%); 92141=1 (0.0%),11
MED29,6,0,0.0,-9=16020 (100.0%); 98139=1 (0.0%); 22305=1 (0.0%); 07332=1 (0.0%); 09481=1 (0.0%),5
MED30,2,0,0.0,-9=16024 (100.0%); 21160=1 (0.0%),1
GPMED1,5,0,0.0,1.0=7868 (49.1%); -7.0=3634 (22.7%); 2.0=2666 (16.6%); 3.0=1766 (11.0%); -9.0=91 (0.6%),1
GPMED2,5,0,0.0,-7.0=6885 (43.0%); 1.0=5663 (35.3%); 2.0=2372 (14.8%); 3.0=998 (6.2%); -9.0=107 (0.7%),1
GPMED3,5,0,0.0,-7.0=9709 (60.6%); 1.0=3906 (24.4%); 2.0=1787 (11.2%); 3.0=504 (3.1%); -9.0=119 (0.7%),1
GPMED4,5,0,0.0,-7.0=11771 (73.5%); 1.0=2606 (16.3%); 2.0=1260 (7.9%); 3.0=261 (1.6%); -9.0=127 (0.8%),1
GPMED5,5,0,0.0,-7.0=13149 (82.1%); 1.0=1641 (10.2%); 2.0=953 (5.9%); 3.0=156 (1.0%); -9.0=126 (0.8%),2
GPMED6,5,0,0.0,-7.0=14031 (87.6%); 1.0=1059 (6.6%); 2.0=714 (4.5%); -9.0=121 (0.8%); 3.0=100 (0.6%),2
GPMED7,5,0,0.0,-7.0=14570 (90.9%); 1.0=725 (4.5%); 2.0=550 (3.4%); -9.0=116 (0.7%); 3.0=64 (0.4%),2
