,WAITTIME,LOV,AGE,AGEDAYS,TEMPF,PULSE,RESPR,BPSYS,BPDIAS,POPCT,RFV1,RFV2,RFV3,RFV4,RFV5,RFV13D,RFV23D,RFV33D,RFV43D,RFV53D,TOTDIAG,NUMGIV,NUMDIS,NUMMED,TEMPDF,PULSED,RESPRD,BPSYSD,BPDIASD,LOS,OBSSTAY,HOSPCODE,PATCODE,CPSUM,PATWT,EDWT,BOARDED
RFV1,-0.03988727327084049,-0.03990705135214828,0.003005432897565529,-0.03553373728827835,-0.08496411110303763,-0.05359882474275024,-0.09287214833333916,-0.020016077180186616,-0.01997090519290089,-0.07593549500281817,1.0,0.06637754889378693,-0.011299940672507319,-0.02410053344329715,-0.005737373742572171,0.999999998473993,0.06642761979784015,-0.011266840664631461,-0.02407854439738814,-0.00572026445507934,-0.17449344251232846,-0.055604592033819865,-0.05214941117463209,-0.0701691590093557,-0.035757918016913734,-0.062262918851498664,-0.06408407095570604,-0.04897293347048017,-0.05095189667718444,-0.014394304380735069,-0.02247177865913051,0.009608080897242114,0.01643516759311041,0.009881709710097723,-0.012608777452766952,-0.014749094455761006,-0.007721829174501677
RFV2,-0.01017859763292855,0.005867534733670569,0.054539778119666656,-0.02581893679957577,0.04679505066691321,-0.015898246697618263,0.01431461575559323,0.06376525971025172,0.053839814354665165,0.08659535198707165,0.06637754889378693,1.0,0.30884782234087216,0.19288325225082384,0.15815423466781842,0.0663765652985382,0.9999999741331116,0.30882085047411323,0.19286530722393147,0.15814636264716256,0.03540332626853291,0.037437357283638104,0.024901194513802124,0.03716493246044695,0.06502459330034245,0.0779986545481782,0.08288124610979179,0.10295766491044336,0.10158869085557554,0.017562374813746846,0.007448969416920641,0.014518592583592843,-0.002347709542249672,0.016714117454166323,0.001838962252154648,-0.12835230291769997,0.01878541948776064
RFV3,0.006975594023083711,0.026324285102143,0.06756895942182968,-0.02096944757928029,0.05531992957189528,-0.020077376689875363,0.032544282479954244,0.06529900923037289,0.055778373234208575,0.09065753193980201,-0.011299940672507319,0.30884782234087216,1.0,0.3942207922984243,0.2618100065637406,-0.011301016672805645,0.3087720623398194,0.9999999745744029,0.39418122611206086,0.2617813553989651,0.10296672898690708,0.056713685935280096,0.03934267256709572,0.05356102692542259,0.08658957598324214,0.09698550714880871,0.10847911327310981,0.12675653651150723,0.12794267475287327,0.022053977756259613,0.006205505547617153,0.0030615807300175147,0.009241846814939775,0.03192795716231444,0.006158562308272342,-0.13346702766198795,0.027861732862978626
RFV4,-0.004637413081373482,0.03881208266268634,0.08058524916238109,-0.022287995837782067,0.03782770750140909,-0.017938988188207643,0.012412334211179692,0.06539112104245741,0.05754125257139102,0.07205604516652005,-0.02410053344329715,0.19288325225082384,0.3942207922984243,1.0,0.4458198343508446,-0.024100828629034534,0.1928225564911704,0.3941384057422665,0.9999999766582207,0.44577731787860436,0.1130104825965881,0.07160441648637883,0.05524558152334101,0.07634029384343295,0.10043710807378867,0.10502551443038674,0.12448418874271874,0.14265815930111572,0.14052026881335028,0.040778132267842375,0.02490821225982706,0.0011551173260633517,0.002041232285707929,0.025839776588371683,0.020858631685126378,-0.04305202423141096,0.030643241636637137
RFV5,-0.004494687277733026,0.035875375165859806,0.078774553424267,-0.02344749389266558,0.033476415552672396,-0.016435831893141684,0.009121912558748923,0.06578732436862497,0.05443955130591305,0.05549896464192027,-0.005737373742572171,0.15815423466781842,0.2618100065637406,0.4458198343508446,1.0,-0.005737760210150537,0.15811523720544027,0.26174669237265696,0.4457463685810123,0.9999999811220034,0.09968541743503984,0.06684450255228026,0.06788042157633822,0.08430988805535841,0.07294056680121112,0.09298337623047663,0.10150689716772776,0.12856380805408713,0.12739066038802865,0.037759352460835366,0.006796139371771688,-0.002482053413560978,0.009815101117518495,0.029064891975790003,0.00035541674767443576,-0.07160639875539385,0.028946958481995886
RFV13D,-0.03988812787169752,-0.03990696399591274,0.0030018556442668195,-0.03553022669910308,-0.0849668632956062,-0.053597515487479104,-0.09287024149192254,-0.020022484194082788,-0.019977195266512815,-0.07593858989416535,0.999999998473993,0.0663765652985382,-0.011301016672805645,-0.024100828629034534,-0.005737760210150537,1.0,0.06642663639443322,-0.011267916766008143,-0.024078839685227192,-0.005720651102409698,-0.17449373110179586,-0.05560439083071519,-0.05215083282693132,-0.07016983964313514,-0.03575758623526799,-0.06226177912370845,-0.06408365741712453,-0.048975115104325895,-0.050954016465895126,-0.014392691716988024,-0.022471060674548776,0.009607175683471657,0.016436488747208374,0.009881912151385357,-0.012609887830384069,-0.014749153127429127,-0.007721618513931016
RFV23D,-0.010177510912983976,0.005858556329606035,0.054540786202938875,-0.025819410407036055,0.04677021368022658,-0.015901641323832094,0.014295738483965745,0.06375260255264585,0.053828579615278205,0.08656752263638276,0.06642761979784015,0.9999999741331116,0.3087720623398194,0.1928225564911704,0.15811523720544027,0.06642663639443322,1.0,0.30874511184747805,0.19280462376024993,0.15810737311188178,0.03536198409774197,0.037419159288647384,0.02489070661697055,0.03714801345805432,0.06500125719454944,0.07797037142816372,0.08285134206204908,0.10292965012246452,0.10156032927230135,0.01755761127975651,0.007445804778429566,0.014517613748029748,-0.0023425121786491286,0.01670975466120499,0.001834950104396194,-0.12831922081500444,0.01877989114399937
RFV33D,0.006974902507366029,0.026317091232944154,0.06757115180959031,-0.0209681236074196,0.05530482751114865,-0.020078546050322985,0.032534781302656635,0.06529359962831063,0.0557733336002775,0.09064030559233888,-0.011266840664631461,0.30882085047411323,0.9999999745744029,0.3941384057422665,0.26174669237265696,-0.011267916766008143,0.30874511184747805,1.0,0.39409885912456655,0.26171805170803725,0.10293149335074232,0.05669624074314151,0.039331850157561604,0.05354394912879212,0.08656637075735643,0.0969584920805622,0.10845122992920957,0.12673053121536929,0.1279160893268296,0.022047925015653103,0.006205139112717981,0.0030645488329421318,0.009244263949349945,0.03192152339663436,0.0061534326881940386,-0.13345105026726006,0.027855340606250507
RFV43D,-0.004636738730009606,0.038808564174236296,0.08058352744586142,-0.022286415192542448,0.03781636761468636,-0.017939261635637645,0.012404835401741117,0.06538419048786998,0.05753484238763478,0.07204377161976354,-0.02407854439738814,0.19286530722393147,0.39418122611206086,0.9999999766582207,0.4457463685810123,-0.024078839685227192,0.19280462376024993,0.39409885912456655,1.0,0.4457038674676241,0.11298073880777677,0.07158806009242709,0.055237415981656976,0.07632556154976111,0.1004227185592146,0.10500475380795196,0.1244636119622144,0.14263675776596652,0.14049821409898966,0.04077234635694572,0.024910593190291045,0.0011595919806671943,0.002042954663044602,0.0258332697061624,0.020856294529946105,-0.043032172560052775,0.030637019487895312
RFV53D,-0.004495319448545814,0.03586906608754539,0.07877071034080745,-0.02344508028786923,0.03346938120018585,-0.016435271284066327,0.009118106377292772,0.0657805821517344,0.05443252808893786,0.055491194187127627,-0.00572026445507934,0.15814636264716256,0.2617813553989651,0.44577731787860436,0.9999999811220034,-0.005720651102409698,0.15810737311188178,0.26171805170803725,0.4457038674676241,1.0,0.09966315344895893,0.06683024695193945,0.06787286976620452,0.08429615649905149,0.07292731966003989,0.09296952482213462,0.10149243442416675,0.12854670949447208,0.1273728620031253,0.03775309355745948,0.006793009828231754,-0.0024807658821824254,0.00981724643362745,0.029060075189817,0.00035261320166081114,-0.07158888834209805,0.028941361741097366
